News,Category
200+ ஸ்பீடில்.. ரேஸ் காரில் சீறிப்பாய்ந்த அஜித் குமார்.. ட்ரெண்டாகும் போட்டோஸ்!,cinema
திருப்பதியில் முடிக்காணிக்கை செலுத்திய பிரபல பாடகி.. பக்தி பாடலை பாடியபடி வந்தார்!,cinema
70 வயதுக்கு மேலான முதியவர்களுக்கு இலவச சிகிச்சை.. ஆயுஷ்மான் திட்டம் பற்றி ஜனாதிபதி முக்கிய அறிவிப்பு,country
கண்ணா 3 லட்டு தின்ன ஆசையா? திருவள்ளூரில் 30+ வசதியோடு ரூ.9 லட்சத்தில் ‛ஜேட் ஜூபிலன்ஸ்’ பிளாட்டுகள்,ad
"தினம் தினம் தீபாவளி.. தங்கம் விலை தடாலடி.. ஒரு வார சரிவில் தங்கம், செம சான்ஸ்..!",economics
கீர்த்தி சுரேஷுக்கா செம டஃப் கொடுப்பாரு போல!.. காவ்யா அறிவுமணியின் கண் கொள்ளா காட்சி!,cinema
IND vs ENG: எதிர்பார்க்காத ட்விஸ்ட்.. 4வது ஸ்பின்னரை இறக்கப் போகும் ரோஹித்? பிளேயிங் 11 மாறுமா?,sports
"""யூதர்கள் மட்டும்?"" பின் வாங்கிய Maldives | ஹாட்ரிக் அடித்த ISRO! China நிலவு சம்பவம் | Javelin",politics
என்னது பெரும்பான்மை ஆட்சியா? ஜனாதிபதி உரைக்கு எதிர்க்கட்சியினர் கடும் எதிர்ப்பு.. பரபர நாடாளுமன்றம்,politics
லண்டனில் விஜயகுமார் குடும்ப பங்க்ஷன்.. ஆனால் மஞ்சுளாவின் மகள்கள் மிஸ்ஸிங்.. கேப்ஷனை கவனித்தீர்களா?,cinema
பெல்ட்டால் அடித்தேன்.. விஜயகாந்த் அதை செய்யணும்னு எந்த அவசியமும் இல்லை.. எமோஷனலாக பேசிய ராதாரவி,cinema
2 ஆயிரம் ஏக்கரில் பன்னாட்டு விமான நிலையம்.. ஓசூரில் மெகா திட்டம்.. முதல்வர் ஸ்டாலின் குட்நியூஸ்,politics
தடுக்கி விழுந்தா பெங்களூர் ஏர்போர்ட்! அப்ப ஓசூருக்கு விமான நிலையம் ஏன் தேவை தெரியுமா?,country
6 பேர் சொகுசா போலாம்... 27 கிமீ மைலேஜ் தரும்... இப்படி ஒரு காரை வாங்கவா ஆள் இல்லாம போச்சு!,unknown
ஆப்கானிஸ்தானுக்கு ஐசிசி செய்த துரோகம்.. தோல்விக்கு இது தான் காரணம்.. உண்மையை புட்டு வைத்த வாஹன்,politics
கோபிக்கு அப்பா விட்ட சாபம் பலித்தது.. பாக்யா எடுத்த முடிவு.. கையில் பைலுடன் ராதிகா கொடுத்த அதிர்ச்சி,cinema
"ஆந்திராவில் 41,000 ஆண்டுகள் பழமையான நெருப்புக்கோழியின் கூடு கண்டுபிடிப்பு! ஆச்சரியத்தில் ஆய்வாளர்கள்",misc
‛‛நீட் நீட்’’.. நாடாளுமன்றத்தில் எதிர்க்கட்சிகள் கோஷம்! உரையின்போது ஜனாதிபதி கூறிய முக்கிய தகவல்,politics
